events_replayed,recovery_fraction,wga_accept_rate,waa_accept_rate
0,0.0,0.0,1.0
1,0.02,0.02,1.0
2,0.04,0.04,1.0
3,0.06,0.06,1.0
4,0.08,0.08,1.0
5,0.1,0.1,1.0
6,0.12,0.12,1.0
7,0.14,0.14,1.0
8,0.16,0.16,1.0
9,0.18,0.18,1.0
10,0.2,0.2,1.0
11,0.22,0.22,1.0
12,0.24,0.24,1.0
13,0.26,0.26,1.0
14,0.28,0.28,1.0
15,0.3,0.3,1.0
16,0.32,0.32,1.0
17,0.34,0.34,1.0
18,0.36,0.36,1.0
19,0.38,0.38,1.0
20,0.4,0.4,1.0
21,0.42,0.42,1.0
22,0.44,0.44,1.0
23,0.46,0.46,1.0
24,0.48,0.48,1.0
25,0.5,0.5,1.0
26,0.52,0.52,1.0
27,0.54,0.54,1.0
28,0.56,0.56,1.0
29,0.58,0.58,1.0
30,0.6,0.6,1.0
31,0.62,0.62,1.0
32,0.64,0.64,1.0
33,0.66,0.66,1.0
34,0.68,0.68,1.0
35,0.7,0.7,1.0
36,0.72,0.72,1.0
37,0.74,0.74,1.0
38,0.76,0.76,1.0
39,0.78,0.78,1.0
40,0.8,0.8,1.0
41,0.82,0.82,1.0
42,0.84,0.84,1.0
43,0.86,0.86,1.0
44,0.88,0.88,1.0
45,0.9,0.9,1.0
46,0.92,0.92,1.0
47,0.94,0.94,1.0
48,0.96,0.96,1.0
49,0.98,0.98,1.0
50,1.0,1.0,1.0
