scenario,system,tau,utility
S1,neutro-waa,0.3,0.6672
S1,neutro-wga,0.3,0.1322
S1,neutro-waa-g,0.3,0.6672
S1,neutro-wga-g,0.3,0.6672
S1,neutro-einstein-g,0.3,0.6672
S1,neutro-hamacher-g,0.3,0.6672
S1,neutro-dombi-g,0.3,0.6672
S1,neutro-aczel_alsina-g,0.3,0.6672
S1,neutro-bonferroni-g,0.3,0.6672
S1,neutro-median-g,0.3,0.6672
S1,neutro-trimmed-g,0.3,0.6672
S1,neutro-krum-g,0.3,0.6672
S1,neutro-waa-g-accuracy,0.38,0.6595
S1,neutro-waa-g-cosine,0.34,0.6568
S1,neutro-waa-g-truth_weighted,0.3,0.6612
S1,prob-gate,0.3,0.6668
S2,neutro-waa,0.7,-0.1548
S2,neutro-wga,0.3,-0.6019
S2,neutro-waa-g,0.58,-0.0793
S2,neutro-wga-g,0.38,-0.1455
S2,neutro-einstein-g,0.66,-0.0609
S2,neutro-hamacher-g,0.54,-0.0832
S2,neutro-dombi-g,0.78,-0.0423
S2,neutro-aczel_alsina-g,0.78,-0.0691
S2,neutro-bonferroni-g,0.5,-0.1085
S2,neutro-median-g,0.3,-0.159
S2,neutro-trimmed-g,0.46,-0.1241
S2,neutro-krum-g,0.3,-0.159
S2,neutro-waa-g-accuracy,0.54,-0.075
S2,neutro-waa-g-cosine,0.7,-0.0822
S2,neutro-waa-g-truth_weighted,0.62,-0.0664
S2,prob-gate,0.3,-0.1591
S3,neutro-waa,0.3,0.2921
S3,neutro-wga,0.3,-0.2532
S3,neutro-waa-g,0.3,0.2921
S3,neutro-wga-g,0.3,0.2921
S3,neutro-einstein-g,0.3,0.2921
S3,neutro-hamacher-g,0.3,0.2921
S3,neutro-dombi-g,0.3,0.2921
S3,neutro-aczel_alsina-g,0.3,0.2921
S3,neutro-bonferroni-g,0.3,0.2921
S3,neutro-median-g,0.3,0.2921
S3,neutro-trimmed-g,0.3,0.2921
S3,neutro-krum-g,0.3,0.2921
S3,neutro-waa-g-accuracy,0.46,0.2907
S3,neutro-waa-g-cosine,0.58,0.2836
S3,neutro-waa-g-truth_weighted,0.3,0.2835
S3,prob-gate,0.3,0.2901
S4,neutro-waa,0.7,-1.1307
S4,neutro-wga,0.3,-1.631
S4,neutro-waa-g,0.74,-1.0175
S4,neutro-wga-g,0.42,-1.12
S4,neutro-einstein-g,0.78,-0.9932
S4,neutro-hamacher-g,0.78,-0.9932
S4,neutro-dombi-g,0.78,-0.9719
S4,neutro-aczel_alsina-g,0.78,-0.9782
S4,neutro-bonferroni-g,0.5,-1.0737
S4,neutro-median-g,0.3,-1.1337
S4,neutro-trimmed-g,0.46,-1.0943
S4,neutro-krum-g,0.3,-1.1337
S4,neutro-waa-g-accuracy,0.78,-1.0112
S4,neutro-waa-g-cosine,0.74,-1.0328
S4,neutro-waa-g-truth_weighted,0.7,-1.0085
S4,prob-gate,0.3,-1.1337
