profile,pattern,latency_ms,jitter_ms,loss,n,p50_ms,p95_ms,p99_ms,p999_ms
lan,1-hop,1,0,0.0,800,3.059,3.87,4.248,5.233
lan,majority,1,0,0.0,800,8.296,11.576,13.595,16.127
lan,R-fan-out,1,0,0.0,800,13.054,16.905,17.935,22.294
regional,1-hop,20,5,0.0,800,22.122,26.41,26.959,27.885
regional,majority,20,5,0.0,800,32.104,75.938,80.675,86.005
regional,R-fan-out,20,5,0.0,800,116.635,127.43,132.219,135.367
wan,1-hop,80,20,0.0,800,83.339,101.276,102.725,103.263
wan,majority,80,20,0.0,800,251.165,287.386,296.124,302.734
wan,R-fan-out,80,20,0.0,800,417.679,461.908,478.57,495.749
wan-lossy,1-hop,80,20,0.02,800,83.357,102.418,1003.48,1004.283
wan-lossy,majority,80,20,0.02,800,252.92,1003.305,1004.579,1005.421
wan-lossy,R-fan-out,80,20,0.02,800,419.505,1161.749,1330.392,1369.06
